GEOID,UERPCTCHG,PCIPCTCHG,POVPCTCHG
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
17031801608,4,-4.5,-2.2
17031801701,-3.8,35.6,0.2
17031801702,-0.9,1.9,-6.5
17031801800,0.5,-15.5,4.9
17031801901,-3.2,28.1,-0.7
17031801902,0.9,0.5,-0.3
17031802002,-3.8,-1.1,-1.9
17031802003,1.6,-8.7,9.1
17031802004,-2.6,-8.3,-17
17031802100,1.8,9,-3.7
17031802200,2.9,-1.6,0.4
17031802300,-1.5,13,0.8
17031802402,-5.3,-5.8,2.5
17031802403,-1.1,19.6,2.3
17031802404,-0.2,-2.1,12.1
17031802503,-0.5,15.5,7.6
17031802504,0.2,21.1,-3.7
17031802505,1,-12,5.7
17031802506,1.4,24.8,-6.6
17031802605,-4.8,3.8,1
17031802607,2.8,68.5,-0.2
17031802608,-4.2,-7.8,2.1
17031802609,-5.4,15.5,-1.9
17031802610,0.1,24.3,-1.2
17031802701,2.8,-0.6,6.2
17031802702,-3,3.3,-0.3
17031802801,5.1,15.6,2.3
17031802802,-3.4,15.2,2
17031802900,-1.1,14.2,-2.1
17031803005,1.3,8.4,5.9
17031803007,-1.5,32.3,-0.2
17031803008,-0.7,2.6,0.7
17031803010,-3.7,8.2,-0.3
17031803012,2.2,-7.6,3.3
17031803013,0.9,7.4,-3.7
17031803014,-1.4,27.6,1.2
17031803015,0.7,1.9,-2.7
17031803016,-4.3,5,2.4
17031803017,-3.8,30.5,-1.1
17031803100,0.4,17.3,2.4
17031803200,2.7,5.1,1.5
